method,hidden,seed,accuracy,modularity_Q,regularity_W1,regularity_W2,regularity_mean,erank_W1,erank_W2,erank_W1_norm,erank_W2_norm,robustness_auc_abs,robustness_auc_rel,weight_rms,dead_neuron_frac,si_mean,si_std,si_frac_high
ES,32,0,0.9221999645233154,0.13382949,0.07330197704081631,0.029687499999999978,0.051494738520408145,31.783117294311523,9.326309204101562,0.9932224154472351,0.9326309204101563,0.8698439697027207,0.8508845850229263,1.049116384459974,0.0,0.5702346147498297,0.13055977030830654,0.78125
ES,32,1,0.924299955368042,0.13625968,0.07281369579081631,0.030468750000000044,0.05164122289540818,31.827131271362305,9.468245506286621,0.994597852230072,0.9468245506286621,0.8879103699922561,0.8533769776821136,1.08356734270937,0.0,0.5875618732983909,0.1431650698730863,0.75
ES,32,2,0.9229999780654907,0.14198095,0.07292330994897955,0.03125,0.05208665497448978,31.828495025634766,9.396659851074219,0.9946404695510864,0.9396659851074218,0.875835977435112,0.8612059799432754,1.013379025050248,0.0,0.5856755968964994,0.1468601342323108,0.65625
ES,32,3,0.9158999919891357,0.13993266,0.07216597576530615,0.025781249999999978,0.04897361288265306,31.818222045898438,9.36683177947998,0.9943194389343262,0.936683177947998,0.8769347792863846,0.8543785756826401,1.1616484845184245,0.0,0.5901443771275063,0.13606738373191604,0.8125
ES,32,4,0.9197999835014343,0.14066073,0.07291334502551017,0.025000000000000022,0.048956672512755095,31.827083587646484,9.370940208435059,0.9945963621139526,0.9370940208435059,0.882141172170639,0.8578887794017792,1.0628444604814302,0.0,0.5969153196008181,0.12912719638518544,0.8125
ES,64,0,0.920799970626831,0.14894523,0.07256457270408168,0.05429687500000002,0.06343072385204085,63.274803161621094,9.642121315002441,0.9886687994003296,0.9642121315002441,0.8888371824026108,0.8613483854532242,1.1424163321049157,0.0,0.5580897613011302,0.14583409240750514,0.671875
ES,64,1,0.9193999767303467,0.14155366,0.0724748883928571,0.05507812499999998,0.06377650669642854,63.293724060058594,9.660391807556152,0.9889644384384155,0.9660391807556152,0.8875817823410035,0.8623321830034256,1.1358877360076358,0.0,0.5615943318433709,0.14906555502774763,0.671875
ES,64,2,0.920199990272522,0.149546,0.07332688934948983,0.052734375,0.06303063217474492,63.284156799316406,9.618785858154297,0.9888149499893188,0.9618785858154297,0.8772589761018754,0.858698575258255,1.0769652856510608,0.0,0.5421747118823061,0.1342917102057533,0.53125
ES,64,3,0.9200999736785889,0.14636026,0.0726492745535714,0.052734375,0.0626918247767857,63.28913497924805,9.732503890991211,0.9888927340507507,0.9732503890991211,0.8868685759305954,0.8776165795326233,1.0993601387260004,0.0,0.5458806754209671,0.12637893248776627,0.640625
ES,64,4,0.9246000051498413,0.14802358,0.07355110012755106,0.05429687500000002,0.06392398756377554,63.32502365112305,9.727054595947266,0.9894534945487976,0.9727054595947265,0.8857195774316788,0.8603109773397444,1.0747043594398848,0.0,0.5531294911397225,0.14964152244094917,0.578125
ES,128,0,0.9304999709129333,0.1520946,0.0733293805803571,0.06582031249999998,0.06957484654017854,125.19596099853516,9.822562217712402,0.9780934453010559,0.9822562217712403,0.8823455790281296,0.8773151807785033,1.0617977578259803,0.0,0.5229220649797609,0.1292084281582708,0.5625
ES,128,1,0.9271000027656555,0.15448318,0.07338667889030615,0.0673828125,0.07038474569515307,125.2181167602539,9.837475776672363,0.9782665371894836,0.9837475776672363,0.8832635765075684,0.8652117826938629,1.1096109270774668,0.0,0.5114540031304073,0.14287913590291446,0.5078125
